date,region,marketing_channel,campaign,campaign_type,customer_eligibility,discount_rate,marketing_spend,stockout_rate,delivery_delay_rate,payment_failure_rate,source_system,refresh_cadence
2017-01-01,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,47.31,0.041,0.0765,0.0302,Simulated_Business_Context,Daily
2017-01-01,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,196.58,0.0322,0.0741,0.0376,Simulated_Business_Context,Daily
2017-01-01,Sao Paulo,Social,No Promotion,None,All Customers,0.0,113.29,0.0294,0.0936,0.0213,Simulated_Business_Context,Daily
2017-01-01,Sao Paulo,Email,No Promotion,None,All Customers,0.0,65.28,0.0379,0.0322,0.0112,Simulated_Business_Context,Daily
2017-01-01,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,74.75,0.0228,0.0879,0.0177,Simulated_Business_Context,Daily
2017-01-01,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,33.16,0.0526,0.0744,0.0255,Simulated_Business_Context,Daily
2017-01-01,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,188.12,0.0285,0.0828,0.0158,Simulated_Business_Context,Daily
2017-01-01,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,146.67,0.0278,0.0727,0.0202,Simulated_Business_Context,Daily
2017-01-01,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,59.74,0.0348,0.0536,0.0316,Simulated_Business_Context,Daily
2017-01-01,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,92.13,0.0375,0.031,0.0144,Simulated_Business_Context,Daily
2017-01-01,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,38.55,0.0439,0.0843,0.0241,Simulated_Business_Context,Daily
2017-01-01,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,202.83,0.0173,0.062,0.0213,Simulated_Business_Context,Daily
2017-01-01,Minas Gerais,Social,No Promotion,None,All Customers,0.0,114.45,0.0391,0.0359,0.0276,Simulated_Business_Context,Daily
2017-01-01,Minas Gerais,Email,No Promotion,None,All Customers,0.0,77.82,0.0269,0.0953,0.0332,Simulated_Business_Context,Daily
2017-01-01,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,100.54,0.0249,0.0723,0.0277,Simulated_Business_Context,Daily
2017-01-01,Parana,Organic,No Promotion,None,All Customers,0.0,34.26,0.0292,0.0754,0.0161,Simulated_Business_Context,Daily
2017-01-01,Parana,Paid Search,No Promotion,None,All Customers,0.0,201.68,0.0448,0.1139,0.0244,Simulated_Business_Context,Daily
2017-01-01,Parana,Social,No Promotion,None,All Customers,0.0,142.15,0.0393,0.0639,0.0279,Simulated_Business_Context,Daily
2017-01-01,Parana,Email,No Promotion,None,All Customers,0.0,76.9,0.0346,0.1191,0.005,Simulated_Business_Context,Daily
2017-01-01,Parana,Affiliate,No Promotion,None,All Customers,0.0,68.53,0.036,0.0725,0.0257,Simulated_Business_Context,Daily
2017-01-01,Bahia,Organic,No Promotion,None,All Customers,0.0,37.51,0.0324,0.0889,0.0368,Simulated_Business_Context,Daily
2017-01-01,Bahia,Paid Search,No Promotion,None,All Customers,0.0,187.1,0.0253,0.0675,0.0323,Simulated_Business_Context,Daily
2017-01-01,Bahia,Social,No Promotion,None,All Customers,0.0,133.95,0.0286,0.0928,0.0258,Simulated_Business_Context,Daily
2017-01-01,Bahia,Email,No Promotion,None,All Customers,0.0,57.71,0.0266,0.0718,0.0219,Simulated_Business_Context,Daily
2017-01-01,Bahia,Affiliate,No Promotion,None,All Customers,0.0,87.47,0.0386,0.0865,0.025,Simulated_Business_Context,Daily
2017-01-02,Sao Paulo,Organic,No Promotion,None,All Customers,0.0,36.15,0.018,0.0695,0.0223,Simulated_Business_Context,Daily
2017-01-02,Sao Paulo,Paid Search,No Promotion,None,All Customers,0.0,183.77,0.0331,0.0901,0.0401,Simulated_Business_Context,Daily
2017-01-02,Sao Paulo,Social,No Promotion,None,All Customers,0.0,119.62,0.0381,0.0781,0.0096,Simulated_Business_Context,Daily
2017-01-02,Sao Paulo,Email,No Promotion,None,All Customers,0.0,72.53,0.0357,0.1416,0.0235,Simulated_Business_Context,Daily
2017-01-02,Sao Paulo,Affiliate,No Promotion,None,All Customers,0.0,98.12,0.0346,0.0508,0.0341,Simulated_Business_Context,Daily
2017-01-02,Rio de Janeiro,Organic,No Promotion,None,All Customers,0.0,33.27,0.0445,0.0573,0.0362,Simulated_Business_Context,Daily
2017-01-02,Rio de Janeiro,Paid Search,No Promotion,None,All Customers,0.0,167.77,0.042,0.1348,0.0171,Simulated_Business_Context,Daily
2017-01-02,Rio de Janeiro,Social,No Promotion,None,All Customers,0.0,120.99,0.0362,0.0674,0.0126,Simulated_Business_Context,Daily
2017-01-02,Rio de Janeiro,Email,No Promotion,None,All Customers,0.0,83.02,0.0223,0.0918,0.0176,Simulated_Business_Context,Daily
2017-01-02,Rio de Janeiro,Affiliate,No Promotion,None,All Customers,0.0,76.71,0.0256,0.0719,0.0315,Simulated_Business_Context,Daily
2017-01-02,Minas Gerais,Organic,No Promotion,None,All Customers,0.0,40.89,0.0377,0.1127,0.0121,Simulated_Business_Context,Daily
2017-01-02,Minas Gerais,Paid Search,No Promotion,None,All Customers,0.0,151.48,0.0381,0.0995,0.0151,Simulated_Business_Context,Daily
2017-01-02,Minas Gerais,Social,No Promotion,None,All Customers,0.0,124.99,0.0413,0.0874,0.027,Simulated_Business_Context,Daily
2017-01-02,Minas Gerais,Email,No Promotion,None,All Customers,0.0,64.0,0.0268,0.0858,0.0273,Simulated_Business_Context,Daily
2017-01-02,Minas Gerais,Affiliate,No Promotion,None,All Customers,0.0,97.09,0.0574,0.0918,0.0155,Simulated_Business_Context,Daily
2017-01-02,Parana,Organic,No Promotion,None,All Customers,0.0,36.06,0.0233,0.0997,0.0343,Simulated_Business_Context,Daily
2017-01-02,Parana,Paid Search,No Promotion,None,All Customers,0.0,220.97,0.0466,0.0903,0.0316,Simulated_Business_Context,Daily
2017-01-02,Parana,Social,No Promotion,None,All Customers,0.0,108.25,0.0321,0.0612,0.0179,Simulated_Business_Context,Daily
2017-01-02,Parana,Email,No Promotion,None,All Customers,0.0,76.95,0.0341,0.0885,0.0272,Simulated_Business_Context,Daily
